id,config_name,config_tag,config_value,OLD config_value (mar)
178,monthly-week1,mails,"8,14,17,18,21,22,24,25,28,29","3,4,6,10,11,13,17,18,20,21,24,25,27,28,31"
179,bonus-mail,mails,30,26
180,monthly-week2,mails,,
181,monthly-week3-wednesday,mails,,
182,monthly-week3,mails,,
183,no-deposit-weekly,mails,"3,10,17,24","6,13,20,27"
188,no-deposit-weekly-2,mails,,
208,inactive-cash-balance,mails,27,30
256,monthly-week2-betsoft,mails,,
259,monthly-week2-microgaming,mails,,
262,monthly-week2-playngo,mails,,
265,monthly-week2-wms,mails,,
268,monthly-week2-ygg,mails,,
272,monthly-week2-quickspin,mails,,
366,no-deposit-freeroll,mails,,
367,deposit-freeroll,mails,13,9
411,nodeposit-newbonusoffers-mail-1,mails,7,7
412,nodeposit-newbonusoffers-mail-2,mails,14,26
413,nodeposit-newbonusoffers-mail-3,mails,21,19
414,nodeposit-newbonusoffers-mail-4,mails,28,12
415,nodeposit-newbonusoffers-mail-5,mails,"2,11",5
416,nodeposit-newbonusoffers-mail-6,mails,9,31
417,nodeposit-newbonusoffers-mail-7,mails,16,"14,24"
418,nodeposit-newbonusoffers-mail-8,mails,,
419,nodeposit-newbonusoffers-mail-9,mails,,
420,nodeposit-newbonusoffers-mail-10,mails,23,17
421,nodeposit-newbonusoffers-mail-11,mails,,
422,nodeposit-newbonusoffers-mail-12,mails,,
423,nodeposit-newbonusoffers-mail-13,mails,"18,30","10,21"
424,nodeposit-newbonusoffers-mail-14,mails,"4,25","3,28"
425,nodeposit-newbonusoffers-mail-15,mails,,
889,deposit-newbonusoffers-mail-1,mails,,13
890,deposit-newbonusoffers-mail-2,mails,,
891,deposit-newbonusoffers-mail-3,mails,17,
892,deposit-newbonusoffers-mail-4,mails,,
893,deposit-newbonusoffers-mail-5,mails,10,6
894,deposit-newbonusoffers-mail-6,mails,,
895,deposit-newbonusoffers-mail-7,mails,24,27
896,deposit-newbonusoffers-mail-8,mails,,
897,deposit-newbonusoffers-mail-9,mails,,
898,deposit-newbonusoffers-mail-10,mails,3,
899,deposit-newbonusoffers-mail-11,mails,,
900,deposit-newbonusoffers-mail-12,mails,,
901,deposit-newbonusoffers-mail-13,mails,,20
902,deposit-newbonusoffers-mail-14,mails,,
903,deposit-newbonusoffers-mail-15,mails,,
920,"welcome,mrvegas",mails,"2,9,16,23,30","5,12,19,26"
80858,29daydeposit-newbonusoffers-mail-1,mails,,
80859,29daydeposit-newbonusoffers-mail-2,mails,,
80860,29daydeposit-newbonusoffers-mail-3,mails,,
80861,29daydeposit-newbonusoffers-mail-4,mails,,
80862,29daydeposit-newbonusoffers-mail-5,mails,,
80863,29daydeposit-newbonusoffers-mail-6,mails,,
80864,29daydeposit-newbonusoffers-mail-7,mails,,21
80865,29daydeposit-newbonusoffers-mail-8,mails,,
80866,29daydeposit-newbonusoffers-mail-9,mails,,
80867,29daydeposit-newbonusoffers-mail-10,mails,,
80868,29daydeposit-newbonusoffers-mail-11,mails,,7
80869,29daydeposit-newbonusoffers-mail-12,mails,,
80870,29daydeposit-newbonusoffers-mail-13,mails,,
80871,29daydeposit-newbonusoffers-mail-14,mails,18,
80872,29daydeposit-newbonusoffers-mail-15,mails,4,
