id,config_name,config_tag,config_value,OLD config_value (apr)
178,monthly-week1,mails,,"14,17"
179,bonus-mail,mails,,
180,monthly-week2,mails,,
181,monthly-week3-wednesday,mails,,
182,monthly-week3,mails,,
183,no-deposit-weekly,mails,,
188,no-deposit-weekly-2,mails,,
208,inactive-cash-balance,mails,25,27
256,monthly-week2-betsoft,mails,,
259,monthly-week2-microgaming,mails,,
262,monthly-week2-playngo,mails,,
265,monthly-week2-wms,mails,,
268,monthly-week2-ygg,mails,,
272,monthly-week2-quickspin,mails,,
366,no-deposit-freeroll,mails,,
367,deposit-freeroll,mails,,
411,nodeposit-newbonusoffers-mail-1,mails,9,25
412,nodeposit-newbonusoffers-mail-2,mails,2,7
413,nodeposit-newbonusoffers-mail-3,mails,28,"2,21"
414,nodeposit-newbonusoffers-mail-4,mails,21,"9,28"
415,nodeposit-newbonusoffers-mail-5,mails,14,16
416,nodeposit-newbonusoffers-mail-6,mails,"7,16",23
417,nodeposit-newbonusoffers-mail-7,mails,26,"14,30"
418,nodeposit-newbonusoffers-mail-8,mails,,
419,nodeposit-newbonusoffers-mail-9,mails,,
420,nodeposit-newbonusoffers-mail-10,mails,19,4
421,nodeposit-newbonusoffers-mail-11,mails,,
422,nodeposit-newbonusoffers-mail-12,mails,,
423,nodeposit-newbonusoffers-mail-13,mails,"12,23",11
424,nodeposit-newbonusoffers-mail-14,mails,"5,30",18
425,nodeposit-newbonusoffers-mail-15,mails,,
890,deposit-newbonusoffers-mail-1,mails,,
891,deposit-newbonusoffers-mail-2,mails,,24
892,deposit-newbonusoffers-mail-3,mails,8,
893,deposit-newbonusoffers-mail-4,mails,29,
894,deposit-newbonusoffers-mail-5,mails,,
895,deposit-newbonusoffers-mail-6,mails,,3
896,deposit-newbonusoffers-mail-7,mails,15,10
897,deposit-newbonusoffers-mail-8,mails,,
898,deposit-newbonusoffers-mail-9,mails,,
899,deposit-newbonusoffers-mail-10,mails,,17
917,deposit-newbonusoffers-mail-11,mails,,
918,deposit-newbonusoffers-mail-12,mails,,
919,deposit-newbonusoffers-mail-13,mails,22,
920,deposit-newbonusoffers-mail-14,mails,1,
921,deposit-newbonusoffers-mail-15,mails,,
920,"welcome,mrvegas",mails,,
1235,29daydeposit-newbonusoffers-mail-1,mails,,30
1236,29daydeposit-newbonusoffers-mail-2,mails,,
1237,29daydeposit-newbonusoffers-mail-3,mails,,
1238,29daydeposit-newbonusoffers-mail-4,mails,,
1239,29daydeposit-newbonusoffers-mail-5,mails,,
1240,29daydeposit-newbonusoffers-mail-6,mails,,
1241,29daydeposit-newbonusoffers-mail-7,mails,,
1242,29daydeposit-newbonusoffers-mail-8,mails,28,
1243,29daydeposit-newbonusoffers-mail-9,mails,,
1244,29daydeposit-newbonusoffers-mail-10,mails,,
1245,29daydeposit-newbonusoffers-mail-11,mails,,
1246,29daydeposit-newbonusoffers-mail-12,mails,14,
1247,29daydeposit-newbonusoffers-mail-13,mails,,2
1248,29daydeposit-newbonusoffers-mail-14,mails,,
1249,29daydeposit-newbonusoffers-mail-15,mails,,
